Nr.;Plattform;Kategorie;Eintrags-/Anmelde-URL;Priorität;Kosten;Account nötig;Benötigte Angaben;Status;Profil-URL (nach Eintrag);Backlink;Notiz
1;wlw (Wer liefert was);B2B/Energie;https://www.wlw.de/de/produkte-anbieten;Hoch;Freemium;ja;Firmendaten, B2B-Leistungen/Produkte, Kontakt;offen;;nofollow;"Führender DACH-B2B-Marktplatz – relevant für die Gewerbekunden-Sparte. Nur B2B-Tätigkeit abbilden; Premium kostenpflichtig."
2;ProvenExpert;Bewertungsportal;https://www.provenexpert.com/de-de/;Hoch;Freemium;ja;E-Mail, Firmenname, Branche (Energieberatung/-vermittlung), Adresse, Web, Kurzbeschreibung;offen;;dofollow;Für DE-Dienstleister das wichtigste Bewertungsportal (DR ~91). Echter dofollow-Backlink + Google-Sterne-Widget für die eigene Seite.
3;11880.com;Branchenbuch DE;https://firma-eintragen-kostenlos.11880.com/;Hoch;Freemium;ja;NAP, Branche, Web, Beschreibung;offen;;unklar;Netzwerk mit Cylex & Stadtbranchenbuch. Ein Eintrag erscheint auch auf werkenntdenBESTEN.
4;Cylex;Branchenbuch DE;https://web2.cylex.de/;Hoch;Freemium;ja;NAP, Branche, Web, Beschreibung, Bilder, Logo;offen;;dofollow (häufig berichtet);"Kostenlos, hohe Reichweite; Verbund mit 11880/Opendi. Gilt als guter Citation-Backlink."
5;Das Telefonbuch;Branchenbuch DE;https://www.dastelefonbuch.de/Firmeneintrag;Hoch;Freemium;ja;"NAP, Branche, Web; Rückruf-Verifizierung";offen;;nofollow;"DE-Basis-Trio. Grundeintrag dauerhaft gratis; Aufpreis-Pakete abwählen."
6;Das Örtliche;Branchenbuch DE;https://www.dtme.de/ihr-eintrag/ihr-gewerblicher-eintrag/;Hoch;Freemium;ja;NAP, Branche;offen;;nofollow;DE-Basis-Trio. Gemeinsames DTM-Formular deckt oft Telefonbuch + Örtliche + Gelbe Seiten ab.
7;Gelbe Seiten;Branchenbuch DE;https://www.gelbeseiten.de/starteintrag;Hoch;Freemium;ja;NAP, Branche, Web;offen;;nofollow;DE-Basis-Trio. NUR kostenlosen Grundeintrag wählen – 'Starteintrag' wandelt sich sonst nach 3 Monaten in Abo (29,90 €/Mon, SELLWERK).
8;GoLocal;Branchenbuch DE;https://www.golocal.de/unternehmen/;Hoch;Freemium;ja;NAP, Branche, Web;offen;;nofollow;Bewertungs-/Google-Verbund, verzahnt mit Gelbe Seiten & Das Örtliche. Gratis-Grundeintrag.
9;Marktplatz-Mittelstand;Branchenbuch DE;https://www.marktplatz-mittelstand.de/Firmeneintrag;Hoch;Freemium;ja;NAP, Branche, Web, Beschreibung;offen;;dofollow (berichtet);"Größtes KMU-Portal DE (Nürnberg); passt gut zu §34c-Dienstleister B2B/B2C."
10;Wer kennt den Besten;Branchenbuch DE;https://firma-eintragen-kostenlos.werkenntdenbesten.de/;Hoch;kostenlos;ja;NAP, Branche, Web;offen;;unklar;"Empfehlungs-/Bewertungsportal, DR ~80. Aggregiert ~52 Portale; Daten erscheinen auch auf 11880."
11;meinestadt.de;Branchenbuch DE;https://www.meinestadt.de/eintrag/listing;Hoch;Freemium;ja;NAP, Branche, Öffnungszeiten, Homepage-Link, Standort;offen;;unklar;Großes Stadtportal mit starkem Dresden-Bezug. Dauerhaft kostenloser Gratiseintrag.
12;Creditreform Firmeneintrag;Firmendaten/Register;https://firmeneintrag.creditreform.de/mein-firmeneintrag;Hoch;kostenlos (Profilpflege);ja;"Logo, Header, Top-Produkte/Leistungen, Kontakt; Verifizierung als Vertretungsberechtigter";offen;;unklar;Hohe Datenautorität (Bonität). Alle Änderungen kostenfrei.
13;Apple Business Connect;Karten & Kern;https://businessconnect.apple.com/;Hoch;kostenlos;ja;"Name, Adresse/Servicegebiet, Kategorie, Web, jurist. Name des Anmelders; Verifizierung binnen 10 Tagen";offen;;nofollow;Apple Maps + Siri/Spotlight. Yelp speist Apple zusätzlich. Wachsende Bedeutung mit Apple Intelligence.
14;Bing Places for Business;Karten & Kern;https://www.bingplaces.com/;Hoch;kostenlos;ja;"wie Google; Import aus Google-Profil möglich";offen;;nofollow;Speist Bing Maps + Copilot/Bing-KI. Google-Import + Auto-Sync spart Zeit.
15;Google Business Profile;Karten & Kern;https://business.google.com/create;Hoch;kostenlos;ja;"Name, Kategorie, Adresse/Servicegebiet, Tel., Website, Öffnungszeiten; Verifizierung (Postkarte/Video/Telefon)";offen;;nofollow;Wichtigster Eintrag überhaupt. Als Dienstleistungsgebiet-Profil führen (Adresse ausblendbar, Gebiet Deutschland), Sitz Dresden. Speist Google Maps, Local Pack, Google-Rezensionen und AI Overviews.
16;IHK Dresden / firmen-in-sachsen.de;Lokal Dresden/Sachsen;https://www.firmen-in-sachsen.de/;Hoch;kostenlos (IHK-Mitgliedschaft);ja;Firmenprofil (DE+EN, je max. 1000 Zeichen), Branche, Produkte, Kontakt;offen;;unklar;Höchste regionale Autorität. Eintrag entsteht mit IHK-Zugehörigkeit, selbst befüllbar ('Firmeneintrag online ändern').
17;Wirtschaftsförderung Sachsen (standort-sachsen);Lokal Dresden/Sachsen;https://firmen.standort-sachsen.de/;Hoch;kostenlos;ja;Firmenprofil, Branche/Produkte, Kontakt;offen;;unklar;Offizielle Landes-Firmendatenbank (>50.000 Einträge). Speist auch die dresden.de-Firmensuche (kein eigener Direkteintrag auf dresden.de).
18;Facebook Unternehmensseite;Social/Business;https://www.facebook.com/pages/create;Hoch;kostenlos;ja;Seitenname, Kategorie, Beschreibung, Kontakt, Web;offen;;nofollow;"Pflicht-Präsenz; Info-/Website-Link nofollow, aber starke Marken-/Citation-Wirkung."
19;Instagram Business;Social/Business;https://www.instagram.com/;Hoch;kostenlos;ja;Nutzername, Kategorie, Kontakt, Bio-Link;offen;;nofollow;In der App auf 'professionelles Konto' umstellen. Visuelle Marken-/Trust-Präsenz.
20;LinkedIn Unternehmensseite;Social/Business;https://www.linkedin.com/company/setup/new/;Hoch;kostenlos;ja;Firmenname, LinkedIn-URL, Web, Branche, Größe, Logo;offen;;nofollow;"Wichtig für B2B/Gewerbekunden; verifiziertes persönliches Profil nötig."
21;Europages;B2B/Energie;https://promote-your-business.europages.com/de/supplier-registration;Mittel;Freemium;ja;B2B-Firmenprofil, Leistungen/Produkte, Kontakt;offen;;nofollow;"Europaweit, 26 Sprachen. Nur Gewerbe-Sparte; reine B2C-Profile werden moderativ entfernt."
22;Kompass;B2B/Energie;https://de.kompass.com/registerNewCompany/identity;Mittel;Freemium;ja;Kontaktdaten + Hauptprodukt/Klassifizierung;offen;;unklar;>20 Mio. B2B-Profile, 4-Schritt-Eintrag.
23;Trustpilot;Bewertungsportal;https://de.business.trustpilot.com/signup;Mittel;Freemium;ja;Firmen-E-Mail, Domain, Firmenname, Kategorie;offen;;nofollow;Free-Plan (50 Einladungen/Monat) reicht. Stark für KI-Antworten/AI-Sichtbarkeit.
24;Yelp;Bewertungsportal;https://biz.yelp.de/signup_business/new;Mittel;Freemium;ja;NAP, Kategorie, Fotos, Öffnungszeiten;offen;;nofollow;Speist Apple Maps/Siri → für iPhone-Sichtbarkeit wertvoll. Eintrag wird moderiert.
25;werkenntdenBESTEN.de;Bewertungsportal;https://business.werkenntdenbesten.de/;Mittel;Freemium;ja;NAP, Kategorie, Web;offen;;unklar;"Aggregiert 100 Mio.+ Bewertungen; identische Daten erscheinen auch auf 11880 (Doppel-Sichtbarkeit)."
26;Branchenbuch Deutschland;Branchenbuch DE;https://eintragen.branchenbuchdeutschland.de/;Mittel;Freemium;ja;NAP, Branche, Web;offen;;dofollow (berichtet);"Kostenloser Grundeintrag; Premium kostenpflichtig."
27;GoYellow;Branchenbuch DE;https://kundenportal.goyellow.de/registration/;Mittel;kostenlos;ja;NAP, Branche, Web;offen;;nofollow;Gehört zum GoLocal-Verbund.
28;Hotfrog;Branchenbuch DE;https://www.hotfrog.de/;Mittel;kostenlos;ja;NAP, Branche, Web, Beschreibung;offen;;unklar;"Großes internationales KMU-Verzeichnis; Formular-Eintrag von der Startseite."
29;KennstDuEinen;Branchenbuch DE;https://www.kennstdueinen.de/serviceProvider/registerForm;Mittel;Freemium;ja;NAP, Branche, Leistungen;offen;;unklar;Dienstleister-/Empfehlungsportal, DR ~79. Antwortfunktion nur bezahlt.
30;Stadtbranchenbuch.com;Branchenbuch DE;https://form.opendi.com/;Mittel;kostenlos;ja;NAP, Branche, Web;offen;;unklar;"Eintrag über Opendi-Formular; Teil des 11880/Cylex-Netzes. Dresden-Subdomain: dresden.stadtbranchenbuch.com. Nicht das dubiose 'stadtbranchenbuch-…'."
31;Unternehmensverzeichnis.org;Branchenbuch DE;https://www.unternehmensverzeichnis.org/info/firmeneintrag2/;Mittel;Freemium;ja;NAP, Branche, Web;offen;;unklar;"DR ~56; kostenloser Basiseintrag. NICHT mit amtlichem 'Unternehmensregister' verwechseln."
32;Webwiki.de;Branchenbuch DE;https://www.webwiki.de/info/website-eintragen.html;Mittel;kostenlos;nein;Website-URL, Kurzbeschreibung;offen;;nofollow;"Website-Verzeichnis mit Bewertungen; sehr schnelle Eintragung."
33;Yalwa;Branchenbuch DE;https://www.yalwa.de/post/;Mittel;kostenlos;ja;NAP, Branche, Web, Beschreibung;offen;;dofollow (häufig berichtet);"Globales Verzeichnis; einfacher Formular-Eintrag mit Backlink."
34;city-map;Branchenbuch DE;https://register.city-map.com/;Mittel;Freemium;ja;NAP, Branche, Web;offen;;unklar;"Regionales Portalnetz; Gratis-Grundeintrag, Upsell möglich. Region Dresden: dresden.city-map.de."
35;Infobel;Daten-Aggregator;https://www.infobel.com/de/germany;Mittel;kostenlos;teils;Name, Adresse, Tel., Web, Kategorie;offen;;unklar;Internationales Branchenverzeichnis, speist weitere Dienste.
36;Opendi;Daten-Aggregator;https://form.opendi.com/;Mittel;kostenlos;nein;Name, Adresse, Tel., Web, Bild;offen;;unklar;"Schnelles Formular; speist Stadtbranchenbuch.com und weitere; breite Weiterverteilung."
37;Uberall (Free Listing);Daten-Aggregator;https://uberall.com/de;Mittel;Freemium;ja;Firmenstammdaten (NAP+) pro Standort;offen;;speist Verzeichnisse (nofollow);Verteilt an großes DE-Verzeichnisnetz in einem Rutsch. Für einen Standort ggf. manuell günstiger.
38;Yext (Free-Scan);Daten-Aggregator;https://www.yext.com/resources/business-scan;Mittel;kostenpflichtig (Scan gratis);ja;Firmenstammdaten pro Standort;offen;;Direktverteilung an Partnernetz;"Kostenloser Scan zur NAP-Konsistenzprüfung sinnvoll; Vollverteilung nur mit Budget/mehreren Standorten."
39;Companyhouse;Firmendaten/Register;https://www.companyhouse.de/;Mittel;kostenlos (Kurzprofil);teils;"Registerdaten automatisch; Korrektur/Ergänzung per Kontakt";offen;;unklar;Über 8,5 Mio. Firmen. Selbst-Editing begrenzt.
40;FirmenWissen;Firmendaten/Register;https://www.firmenwissen.de/cms/firmeneintrag.html;Mittel;Freemium;ja;Logo, Produktbeschreibungen zum Kurzprofil;offen;;unklar;"Creditreform/Bundesanzeiger-Umfeld; Basiseintrag kostenfrei erweiterbar, weiterführende Daten kostenpflichtig."
41;North Data;Firmendaten/Register;https://www.northdata.com/;Mittel;Freemium;teils;"Daten aus Registern (automatisch); Ergänzung/Korrektur per Kontakt";offen;;nofollow/unklar;Sehr sichtbar, wird oft von KI/Redaktionen zitiert. Eigenpflege begrenzt.
42;Unternehmensregister.de;Firmendaten/Register;https://www.unternehmensregister.de/;Mittel;kostenlos (Einsicht);nein;Daten kommen automatisch aus Handelsregister/Bekanntmachungen;offen;;unklar;Zentrale amtliche Plattform, kein Werbeeintrag. WARNUNG: keine dubiosen 'Registereintrag'-Rechnungen bezahlen (Bundesanzeiger warnt aktiv).
43;Foursquare / Swarm;Karten & Kern;https://foursquare.com/add-place;Mittel;kostenlos;ja;Name, Adresse, Kategorie, Kontakt;offen;;nofollow;Places-Daten speisen Uber, Apple u. a. – überproportional wertvoll als Datenquelle. (Factual ist hierin aufgegangen.)
44;HERE Map Creator;Karten & Kern;https://mapcreator.here.com/;Mittel;kostenlos;ja;POI-Standort auf Karte, Name, Kategorie, Kontakt;offen;;kein Link;Beliefert Automotive-Navis (Mercedes/BMW/Audi). Redaktionelle Prüfung.
45;OpenStreetMap (via OSMyBiz / onOSM);Karten & Kern;https://osmybiz.uster.ch/;Mittel;kostenlos;ja;Koordinaten, office/shop-Tags, Adresse, Öffnungszeiten, Web, Tel.;offen;;nofollow;Hoher Hebel: OSM speist viele Karten/Apps. Einfachste Erfassung via OSMyBiz oder onosm.org.
46;WhatsApp Business;Social/Business;https://business.whatsapp.com/;Mittel;kostenlos;ja;Firmenname, Kategorie, Adresse, Web, Öffnungszeiten;offen;;kein Web-Backlink;Kein klassischer Profil-Backlink, aber wichtiger Kontakt-/Trust-Kanal (passt zu Rechnungs-Upload-Funnel).
47;YouTube Kanal;Social/Business;https://studio.youtube.com/;Mittel;kostenlos;ja;Kanalname, Logo, Banner, Über-Text, Website-Link;offen;;nofollow;"Gut für Erklärvideos/Trust; Website-Link im Kanal-Banner."
48;Kununu;Bewertungsportal;https://www.kununu.com/;Niedrig;Freemium;ja;Firmenname, Standort, Branche, Logo;offen;;nofollow;Nur Arbeitgeberbewertung – relevant erst mit Angestellten/Recruiting. Stärkt Employer-Trust.
49;Meinungsmeister;Bewertungsportal;https://www.meinungsmeister.de/;Niedrig;Freemium;ja;Firmenname, Adresse, Kategorie, Web;offen;;unklar;"Kleineres DE-Portal; Reichweite vor Eintrag prüfen."
50;Trustami;Bewertungsportal;https://app.trustami.com/publicPricing;Niedrig;Freemium;ja;Firmendaten, verknüpfte Bewertungsquellen;offen;;unklar;"Meta-Siegel, bündelt bestehende Bewertungen; eher Widget als Citation-Quelle."
51;Trusted Shops;Bewertungsportal;https://business.trustedshops.com/;Niedrig;kostenpflichtig;ja;Shop-/Unternehmensdaten;offen;;unklar;Primär E-Commerce/Shops. Für reinen Dienstleister ohne Shop kaum sinnvoll.
52;eKomi;Bewertungsportal;https://www.ekomi.de/anmeldung.php;Niedrig;kostenpflichtig;ja;Firmendaten, Vertragsabschluss;offen;;unklar;"Auf E-Commerce/Transaktionen ausgelegt; für reinen Vermittler wenig lohnend."
53;Branchen-Domain.de;Branchenbuch DE;https://www.branchen-domain.de/inputkostenlos.php;Niedrig;kostenlos;ja;NAP, Branche, Web;offen;;unklar;Kleines Verzeichnis.
54;Branchenverzeichnis.org;Branchenbuch DE;https://www.branchenverzeichnis.org/;Niedrig;kostenlos;ja;NAP, Branche, Web;offen;;unklar;Schwesterportal zu Unternehmensverzeichnis.org.
55;BundesTelefonbuch;Branchenbuch DE;https://www.bundes-telefonbuch.de/firma/grund-eintrag;Niedrig;kostenlos;ja;NAP, Branche, Web;offen;;unklar;Grundeintrag kostenlos. Namensähnlichkeit zu 'Das Telefonbuch' beachten.
56;Exilon;Branchenbuch DE;https://www.exilon.de/Branchenbuch/Eintrag-anlegen.html;Niedrig;kostenlos;ja;NAP, Branche, Web;offen;;unklar;Kleines Branchenbuch.
57;Firmeneintrag.de;Branchenbuch DE;https://www.firmeneintrag.de/firmeneintrag-erstellen/;Niedrig;Freemium;ja;NAP, Branche, Web;offen;;unklar;Kleineres Verzeichnis, DR ~44.
58;Mister What;Branchenbuch DE;https://www.misterwhat.de/;Niedrig;kostenlos;ja;NAP, Branche, Web;offen;;unklar;Internationales Verzeichnis.
59;Onlinestreet;Branchenbuch DE;https://www.onlinestreet.de/webseiten/vorschlagen/;Niedrig;kostenlos;nein;Website-URL, NAP;offen;;unklar;Webverzeichnis, DR ~73.
60;StadtBranche.de;Branchenbuch DE;https://www.stadtbranche.de/kostenloser-branchenbucheintrag;Niedrig;kostenlos;ja;NAP, Branche, Web;offen;;unklar;"Kostenlos; DR ~61."
61;auskunft.de;Branchenbuch DE;https://www.auskunft.de/eintragung;Niedrig;kostenlos;ja;NAP, Branche, Web;offen;;unklar;Auskunfts-/Adressportal.
62;regional.de;Branchenbuch DE;https://www.regional.de/Firma-eintragen;Niedrig;kostenlos;ja;NAP, Branche, Web;offen;;unklar;Regionales Firmenverzeichnis.
63;Öffnungszeitenbuch;Branchenbuch DE;https://www.oeffnungszeitenbuch.de/geschaeft-eintragen.html;Niedrig;kostenlos;ja;NAP, Öffnungszeiten, Web;offen;;unklar;Fokus Öffnungszeiten – für Vermittler ohne Ladenlokal begrenzt relevant.
64;1&1 / GMX / WEB.DE Branchensuche;Daten-Aggregator;;Niedrig;kostenlos (über Basis-Trio);–;NAP über Das Telefonbuch/Das Örtliche/Gelbe Seiten;offen;;nofollow;Kein eigenes Anmeldeformular: Wer im DE-Basis-Trio steht, erscheint automatisch in GMX-/WEB.DE-/1&1-Branchensuche (United Internet Media).
65;Data Axle Local Listings;Daten-Aggregator;https://local-listings-premium.data-axle.com/;Niedrig;kostenlos;ja;Firmenstammdaten (NAP);offen;;kein Link;"Primär US/Kanada; für DE praktisch irrelevant – nur bei gewünschter internationaler Sichtbarkeit."
66;Tupalo;Daten-Aggregator;https://new.tupalo.biz/de;Niedrig;kostenlos;ja;NAP, Kategorie, Web, Bild;offen;;unklar;Europäisches Verzeichnis, speist Partnerseiten.
67;Handelsregister.de;Firmendaten/Register;https://www.handelsregister.de/;Niedrig;kostenlos (Abruf);nein;Eintrag erfolgt amtlich über das Registergericht (nicht selbst anlegbar);offen;;n/a;Nur amtlicher Registereintrag, keine Marketing-Listung. Als Datenquelle für andere Portale relevant.
68;Wikidata;Firmendaten/Register;https://www.wikidata.org/wiki/Special:NewItem;Niedrig;kostenlos;ja;Offizieller Name, Beschreibung, Gründung, Sitz, Branche (P452), Website (P856), GF – mit Quellen belegt;offen;;Entitäts-Signal;Stark für KI-/Entitäts-Sichtbarkeit, aber Relevanzkriterien: braucht unabhängige Belege, sonst Löschantrag.
69;TomTom MapShare;Karten & Kern;https://www.tomtom.com/mapshare/tools/;Niedrig;kostenlos;ja;Standort auf Karte, POI-Details;offen;;kein Link;"Community-Meldung; Prüfung dauert Tage bis Wochen. Für OEM-Navis."
70;Waze;Karten & Kern;https://www.waze.com/editor;Niedrig;kostenlos;ja;Standort, Name, Kategorie, Adresse;offen;;kein Link;"Gehört zu Google; Community-Prüfung. Nur bei Publikumsverkehr wirklich nützlich."
71;Branchenbuch 2.0 Dresden;Lokal Dresden/Sachsen;https://www.branchenbuch20.de/Dresden/;Niedrig;kostenlos;ja;Firmenname, Adresse, Kategorie;offen;;unklar;Kleineres Regionalverzeichnis, geringe Autorität – Citation-Füller.
72;Stadtbranchenbuch Dresden;Lokal Dresden/Sachsen;https://dresden.stadtbranchenbuch.com/;Niedrig;kostenlos;ja;Firmenname, Adresse, Kategorie, Kontakt;offen;;unklar;"Regionales Branchenbuch (Opendi-Netzwerk); Eintrag via form.opendi.com."
73;city-map Region Dresden;Lokal Dresden/Sachsen;https://dresden.city-map.de/;Niedrig;Freemium;ja;Firmendaten, Branche, Beschreibung;offen;;unklar;Regionalportal für Raum Dresden / PLZ 01xxx.
74;Nextdoor Business;Social/Business;https://business.nextdoor.com/;Niedrig;Freemium;ja;Firmenname, Adresse/Servicegebiet, Kategorie, Web;offen;;nofollow;"Nachbarschaftsbasiert; für deutschlandweiten Vermittler begrenzt relevant."
75;Pinterest Business;Social/Business;https://business.pinterest.com/;Niedrig;kostenlos;ja;Firmenname, Website (verifizierbar), Kategorie;offen;;nofollow;"Website-Verifizierung möglich; für Energie-Vermittler nachrangig."
76;TikTok Business;Social/Business;https://www.tiktok.com/business/;Niedrig;kostenlos;ja;Nutzername, Kategorie, Bio-Link;offen;;nofollow;Nur bei geplanter Video-Content-Strategie.
77;X / Twitter;Social/Business;https://twitter.com/i/flow/signup;Niedrig;kostenlos;ja;Name, Handle, Bio, Website-Link;offen;;nofollow;Optionale Marken-Präsenz.
78;Xing / New Work Arbeitgeberprofil;Social/Business;https://www.xing.com/;Niedrig;Freemium;ja;Firmenname, Logo, Beschreibung;offen;;nofollow;"DACH-B2B-Netzwerk; kostenloses Gratisprofil genügt für Präsenz."
79;GIH / DEN Energieberater-Verzeichnisse;B2B/Energie;https://www.gih.de/energieberatung/energieberatersuche/;Vorsicht;Mitgliedschaft/qualifikationsgebunden;ja;Verbandsmitgliedschaft + Energieberater-Qualifikation;offen;;unklar;Für Gebäude-Energieberater, nicht für Tarif-/Energievermittler. Nur bei passender Qualifikation/Mitgliedschaft.
80;dena Energie-Effizienz-Experten-Liste;B2B/Energie;https://www.energie-effizienz-experten.de/;Vorsicht;qualifikationsgebunden;ja;Anerkannte Berufsqualifikation (Ing./Architekt/Meister) + Energieberater-Weiterbildung + Berufserfahrung;offen;;unklar;QUALIFIKATIONSGEBUNDEN – für Gebäude-Energieberatung (BAFA/KfW), NICHT für Strom-/Gas-Vertragsvermittlung. Für Plasma i. d. R. NICHT geeignet – nur mit entsprechender Zertifizierung.
81;Gelbes Branchenbuch;Vorsicht (Abzocke);;Vorsicht;NICHT eintragen;–;–;offen;;–;"ABZOCKE. Anbieter mit Sitz Marshallinseln; Verwechslung mit 'Gelbe Seiten' gewollt; 'Gratis-Grundeintrag' endet in Hunderten Euro."
82;Gewerbeauskunft-Zentrale (GWE);Vorsicht (Abzocke);;Vorsicht;NICHT eintragen;–;–;offen;;–;"ABZOCKE. Bekanntester Adressbuchschwindel; 'kostenlose Datenaktualisierung' = 2-Jahres-Vertrag ~569 €. Nichts unterschreiben/zurücksenden."
83;branchenbuch-regional (Euro Media Verlag);Vorsicht (Abzocke);;Vorsicht;NICHT eintragen;–;–;offen;;–;VORSICHT. Als Abzock-Verzeichnis dokumentiert (HWK/IHK-Warnungen).
